INCHIKEY,APC2D1_C_C,APC2D6_C_C,APC2D2_C_C,APC2D7_C_C,APC2D1_C_X,APC2D5_C_C,APC2D3_C_O,APC2D3_C_X,APC2D2_C_X,APC2D2_C_O,APC2D8_C_C,APC2D4_C_C,APC2D1_C_O,APC2D4_C_O,APC2D3_C_C,APC2D2_C_Cl,APC2D1_N_O,APC2D5_C_Cl,APC2D1_C_N,APC2D4_C_X,APC2D2_C_N,APC2D2_O_O,APC2D5_C_O,APC2D4_C_Cl,APC2D3_C_Cl,APC2D3_C_N,APC2D1_C_Cl,APC2D5_C_X,KRFPC2975,KRFPC2259,KRFPC3821,KRFPC4331,KRFPC3682,KRFPC4843,KRFPC3869,KRFPC3788,KRFPC297,KRFPC669,KRFPC3440,KRFPC3224,KRFPC4080,KRFPC2986,KRFPC494,KRFPC1566,KRFPC3408,KRFPC4829,KRFPC1564,KRFPC3750,KRFPC2380,KRFPC1,KRFPC3882,KRFPC2547,KRFPC3395,KRFPC1642,KRFPC3956,KRFPC4117,KRFPC2950,KRFPC2694,KRFPC3369,KRFPC3640,KRFPC3025,KRFPC341,KRFPC1149,KRFPC1150,KRFPC1146,KRFPC3659,KRFPC466,KRFPC1148,KRFPC189,KRFPC2949,KRFPC3773,KRFPC3606,KRFPC648,KRFPC3455,KRFPC3926,KRFPC1193,KRFPC3943,KRFPC3671,KRFPC2855,KRFPC3591,KRFPC3737,KRFPC3587,KRFPC1592,KRFPC3010,KRFPC2667,KRFPC2673,KRFPC4019,KRFPC3749,KRFPC1154,KRFPC604,KRFPC1645,KRFPC4479,KRFPC298,KRFPC647,KRFPC1263,KRFPC3744,KRFPC504,KRFPC3139,KRFPC3268,KRFPC493,KRFPC344,KRFPC382,KRFPC3550,KRFPC3467,KRFPC1406,KRFPC2979,KRFPC18,KRFPC362,KRFPC3692,KRFPC4709,KRFPC1932,KRFPC3740,KRFPC3881,KRFPC138,KRFPC4237,KRFPC4000,KRFPC2595,KRFPC1769,KRFPC3468,KRFPC398,KRFPC20,MACCSFP150,MACCSFP145,MACCSFP99,MACCSFP134,MACCSFP162,MACCSFP128,MACCSFP103,MACCSFP76,MACCSFP125,MACCSFP107,MACCSFP140,MACCSFP87,MACCSFP114,MACCSFP81,MACCSFP115,MACCSFP161,MACCSFP139,MACCSFP160,MACCSFP108,MACCSFP88,MACCSFP98,MACCSFP163,MACCSFP116,MACCSFP131,MACCSFP112,MACCSFP104,MACCSFP154,MACCSFP106,MACCSFP149,MACCSFP74,MACCSFP72,MACCSFP132,MACCSFP155,MACCSFP105,MACCSFP141,MACCSFP164,MACCSFP67,MACCSFP66,MACCSFP136,MACCSFP137,MACCSFP82,MACCSFP86,MACCSFP152,MACCSFP113,MACCSFP146,MACCSFP151,MACCSFP159,MACCSFP165,MACCSFP157,MACCSFP126,MACCSFP96,MACCSFP123,MACCSFP153,MACCSFP129,MACCSFP142,MACCSFP144,MACCSFP109,MACCSFP84,MACCSFP156,MACCSFP93,MACCSFP90,PubchemFP11,PubchemFP416,PubchemFP679,PubchemFP38,PubchemFP12,PubchemFP441,PubchemFP2,PubchemFP20,PubchemFP663,PubchemFP186,PubchemFP39,PubchemFP1,PubchemFP294,PubchemFP37,PubchemFP293,PubchemFP342,PubchemFP374,PubchemFP360,PubchemFP0,PubchemFP696,PubchemFP335,PubchemFP712,PubchemFP115,PubchemFP19,PubchemFP599,PubchemFP116,PubchemFP351,PubchemFP179,PubchemFP332,PubchemFP656,PubchemFP18,PubchemFP10,PubchemFP346,PubchemFP413,PubchemFP436,PubchemFP516,PubchemFP443,PubchemFP341,PubchemFP699,PubchemFP143,PubchemFP308,PubchemFP697,PubchemFP571,PubchemFP591,PubchemFP391,PubchemFP44,PubchemFP15,PubchemFP432,PubchemFP420,PubchemFP185,PubchemFP256,PubchemFP283,PubchemFP353,PubchemFP393,PubchemFP329,PubchemFP178,PubchemFP366,PubchemFP43,PubchemFP301,PubchemFP181,PubchemFP567,PubchemFP407,PubchemFP452,PubchemFP451,PubchemFP535,PubchemFP368,PubchemFP617,PubchemFP406,PubchemFP285,PubchemFP30,PubchemFP257,PubchemFP314,PubchemFP333,PubchemFP286,PubchemFP439,PubchemFP442,PubchemFP3,PubchemFP345,PubchemFP708,PubchemFP327,PubchemFP14,PubchemFP434,PubchemFP539,PubchemFP669,PubchemFP259,PubchemFP339,PubchemFP297,PubchemFP440,PubchemFP716,PubchemFP672,PubchemFP529,PubchemFP380,PubchemFP514,PubchemFP643,PubchemFP550,PubchemFP540,PubchemFP344,PubchemFP579,PubchemFP405,PubchemFP637,PubchemFP709,PubchemFP33,PubchemFP582,PubchemFP411,PubchemFP418,PubchemFP299,PubchemFP352,PubchemFP448,PubchemFP614,PubchemFP395,PubchemFP340,PubchemFP598,PubchemFP678,PubchemFP607,PubchemFP681,PubchemFP337,PubchemFP419,PubchemFP373,PubchemFP479,PubchemFP568,PubchemFP430,PubchemFP501,PubchemFP365,PubchemFP417,PubchemFP592,SubFPC307,SubFPC302,SubFPC295,SubFPC171,SubFPC68,SubFPC300,SubFPC5,SubFPC8,SubFPC1,SubFPC301,SubFPC12,SubFPC2,SubFPC224,SubFPC287,SubFPC3,SubFPC88,SubFPC275,SubFPC96,SubFPC274,EState 17,EState 9,EState 54,EState 12,EState 7,EState 13,EState 11,EState 34,EState 19,EState 16,EState 36,EState 35,EState 50,EState 21
WHPNHQRWWMLKPJ-UHFFFAOYSA-N,18.0,16.0,24.0,11.0,0.0,22.0,14.0,0.0,0.0,10.0,8.0,24.0,6.0,18.0,27.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,16.0,6.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0
WMXDFLUIDJYHMF-UHFFFAOYSA-N,3.0,3.0,6.0,6.0,0.0,6.0,15.0,0.0,0.0,3.0,3.0,6.0,9.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,12.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,9.0,12.0,0.0,0.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0
NDSBDLSWTGLNQA-UHFFFAOYSA-N,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WMMUNRAGHLZFQS-UHFFFAOYSA-N,15.0,10.0,16.0,9.0,3.0,11.0,6.0,6.0,6.0,7.0,10.0,14.0,5.0,6.0,15.0,6.0,0.0,3.0,0.0,4.0,0.0,1.0,8.0,4.0,6.0,0.0,3.0,3.0,11.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,5.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,8.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9.0,10.0,5.0,3.0,0.0,11.0,0.0,0.0,3.0,11.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,5.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
ANIAQSUBRGXWLS-UHFFFAOYSA-N,8.0,8.0,7.0,4.0,3.0,10.0,6.0,6.0,6.0,7.0,1.0,9.0,2.0,4.0,8.0,6.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,3.0,6.0,0.0,3.0,2.0,4.0,3.0,3.0,2.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,7.0,5.0,2.0,3.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
UWEZBKLLMKVIPI-UHFFFAOYSA-N,6.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,1.0,9.0,3.0,0.0,4.0,0.0,2.0,0.0,4.0,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
XMTQQYYKAHVGBJ-UHFFFAOYSA-N,6.0,4.0,10.0,2.0,2.0,5.0,3.0,4.0,4.0,0.0,0.0,4.0,1.0,2.0,5.0,4.0,0.0,1.0,5.0,2.0,2.0,0.0,2.0,2.0,4.0,5.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,9.0,3.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
UUKHFGSOCZLVJO-UHFFFAOYSA-N,12.0,8.0,13.0,4.0,2.0,10.0,4.0,4.0,4.0,4.0,1.0,8.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
QOVQEVZZHCLMPY-UHFFFAOYSA-N,7.0,6.0,5.0,5.0,0.0,8.0,4.0,0.0,0.0,6.0,4.0,10.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,9.0,5.0,0.0,0.0,9.0,0.0,0.0,3.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
FHIVAFMUCKRCQO-UHFFFAOYSA-N,8.0,9.0,7.0,10.0,0.0,12.0,8.0,0.0,0.0,6.0,8.0,12.0,3.0,8.0,8.0,0.0,0.0,0.0,4.0,0.0,5.0,3.0,6.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,7.0,7.0,0.0,0.0,8.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,3.0,2.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
DJRZPZBRKRAGBD-UHFFFAOYSA-N,34.0,47.0,41.0,49.0,0.0,37.0,12.0,0.0,0.0,6.0,39.0,29.0,0.0,15.0,36.0,0.0,0.0,0.0,6.0,0.0,16.0,6.0,12.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,35.0,8.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,32.0,8.0,0.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
